2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2023.001385,PNCP01 - MAFL01,PR,TSL,MODERNIZAÇÃO,FEITO,,PNCP01 - MAFL01 (2023.001385),7/28/2023,36 - 43,
2023.001362,MACA01 - MAFL01,PR,TSL,MODERNIZAÇÃO,FEITO,,MACA01 - MAFL01 (2023.001362),7/28/2023,55 - 33,
2023.000036,4G-FRBG01 - 4G-FRBG08,MG,TLE,NEW,FEITO,,4G-FRBG01 - 4G-FRBG08 (2023.000036),7/31/2023,,
2023.003109,BUIG03 -   JUBR01,MG,TLE,NEW,FEITO,,BUIG03 -   JUBR01 (2023.003109),7/31/2023,25 - 47,
2023.003037,4G-CLASI5 - 4G-PNBSI5,MS,TCO,NEW,FEITO,,4G-CLASI5 - 4G-PNBSI5 (2023.003037),7/31/2023,,
2023.003024,4G-SWYSI2 - 4G-SWYSI3,MS,TCO,NEW,FEITO,,4G-SWYSI2 - 4G-SWYSI3 (2023.003024),7/31/2023,,
2023.003023,4G-SWYSI1 - 4G-SWYSI2,MS,TCO,NEW,FEITO,,4G-SWYSI1 - 4G-SWYSI2 (2023.003023),7/31/2023,50 - 60 ou 60 - 50,
2023.003025,4G-SWYSI3 - 4G-SWYSI4,MS,TCO,NEW,FEITO,,4G-SWYSI3 - 4G-SWYSI4 (2023.003025),8/1/2023,,
2023.003040,4G-CLASI4 - 4G-PNBSI5,MS,TCO,NEW,FEITO,,4G-CLASI4 - 4G-PNBSI5 (2023.003040),8/1/2023,,
2023.000047,4G-GTUR03 - 4G-GTUR02,MG,TLE,VALIDAÇÃO,FEITO,,4G-GTUR03 - 4G-GTUR02 (2023.000047),8/1/2023,,
2023.000039,4G-FRBG04 - 4G-FRBG03,MG,TLE,VALIDAÇÃO,FEITO,1,4G-FRBG04 - 4G-FRBG03 (2023.000039),8/1/2023,,
2022.000661,4G-MGS187 - CGVH07,MG,TLE,,FEITO,1,4G-MGS187 - CGVH07 (2022.000661),8/1/2023,38-18 (ver se tem outro que precisa trocar altura),
2022.003139,JVVX01 - JVDF01,SC,TSL,MODERNIZAÇÃO,FEITO,1,JVVX01 - JVDF01 (2022.003139),8/2/2023,58 - 46,
